check,value
asset_count,9
raw_price_start,2010-01-04
raw_price_end,2024-12-31
clean_return_start,2010-01-05
clean_return_end,2024-12-31
return_observations,3773
raw_adj_close_missing_cells,0
raw_close_missing_cells,0
raw_volume_missing_cells,0
zero_volume_cells_clean_sample,0
abs_daily_return_gt_20pct_cells,1
macro_missing_after_alignment,0
feature_start,2010-04-07
feature_end,2024-12-31
feature_observations,3710
rolling_cov_condition_median,54.77676803444878
rolling_cov_condition_max,106.06411258840812
