Date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,SHY
2010-01-06,16184000,48703800,75492798,5356700,20048200,9267000,25490200,4883600,8493800,1534900
2010-01-07,11514600,34899000,117869112,12118200,14584800,6951500,13126200,6114600,11473400,772000
2010-01-08,9284800,26688600,111866140,8065000,23772400,5437400,12535200,4284800,12876000,713200
2010-01-11,18217000,38919800,72747299,11895500,30477800,6140200,17749000,4177700,8347000,756600
2010-01-12,26324000,43021200,137613736,12020700,19485600,6822400,16655000,5791400,10946800,582900
2010-01-13,23886200,44275000,100839458,10978200,20107400,7926700,15719000,8056100,9231600,590500
2010-01-14,19231000,31090800,70844542,4762700,15013200,5258900,9633200,7801400,11280600,549900
2010-01-15,15210600,38110400,118059301,7251000,27066600,11968800,25421400,9691800,11779000,648300
2010-01-19,13603400,29226200,100437782,11941300,14965600,10974200,11792800,17749900,8837000,1154000
2010-01-20,23007600,31283400,99359426,9810400,29398000,8670500,19039400,16706200,10056200,1085600
2010-01-21,39632400,50413200,310007531,17492900,25606800,9044700,25810600,15057200,13573200,1281000
2010-01-22,40093800,46057200,260932239,16216200,67402400,9082400,25406200,13221000,20184200,725600
2010-01-25,20610200,31802400,179396215,12695500,66680200,6078200,14953600,7485600,10623200,624600
2010-01-26,33567800,43030600,151799780,12708200,32250600,8116700,15081800,9292600,11013800,758500
2010-01-27,39417600,53233400,254674696,22437800,35370000,12558400,28596200,13238800,14083600,875700
2010-01-28,32740800,68861400,275452007,21371000,46278600,14181700,28124400,12890200,12583200,982100
2010-01-29,32241400,65605400,222839929,17136200,53794800,8930500,19145600,11902000,14724400,900600
2010-02-01,34546000,43626600,155187738,16144100,38415000,9016100,13365800,6463000,17754200,1001000
2010-02-02,32079400,44501600,135155306,20403200,27391200,7433200,13107200,9894100,10987400,724800
2010-02-03,36213600,39498600,131388692,13675400,29566400,6566900,7964800,5967400,9726800,1283800
2010-02-04,45618000,74346400,266891017,20628100,32978200,10827300,14481600,10027700,20252400,624300
2010-02-05,64498000,92756800,315216015,30821300,46507400,13527400,19976600,14325900,16607800,1362400
2010-02-08,40944600,48230200,132199183,17888900,45887600,5150900,10247000,6971500,12753800,857100
2010-02-09,57488000,67116200,190172389,22723500,31774800,7456500,17430600,8632900,13809800,1415000
2010-02-10,43105200,48364600,155220729,12709800,20846800,6364600,13144400,7047300,11132600,670100
2010-02-11,38944200,45889000,92212240,11507900,30349600,5879800,16220000,4335600,11655200,1266000
2010-02-12,39246600,39667800,125390768,16638900,30286000,8895400,20124600,6966800,12668800,505700
2010-02-16,21028400,39669800,134800901,10497000,20466600,7113900,12028800,5786100,9041800,733000
2010-02-17,58790800,36275600,81067751,14974300,17806600,7493600,12895200,10161600,9261600,672300
2010-02-18,39257200,33145400,73617370,7602300,11527600,7539300,11053800,5326600,11835200,888900
2010-02-19,30427000,32996600,72633555,12076500,13535600,4443900,11193200,4369300,11500000,1352700
2010-02-22,22993800,34699400,86110666,7382700,14074600,4414400,11315400,6989700,7114400,681700
2010-02-23,40160400,42202400,144519031,16110200,20971400,8464300,11088600,4313800,11450600,832000
2010-02-24,31930800,35260600,87297473,9011200,15078000,4147700,9981600,4352100,12672000,1194200
2010-02-25,40918000,41896200,130407585,12357000,23315000,6443300,14762800,5437900,11438000,733600
2010-02-26,30666800,34493600,129857821,9004200,19404000,5805900,16631400,8794500,12622400,936700
2010-03-01,39502800,27932000,65465319,11493900,12843600,4360200,9867200,6249900,16310200,863200
2010-03-02,38859000,33492600,71151554,7327500,14023800,14652000,9431000,5321100,23871000,1148800
2010-03-03,28216400,33534600,69710915,5641200,16663600,7569800,7253400,5066800,10509800,1204600
2010-03-04,26748000,32662000,65092695,7479600,7247600,5479500,10821600,10135600,9202200,820800
2010-03-05,23340600,30670400,99635663,9905300,14095800,5123200,10381000,5832200,9603200,1145300
2010-03-08,28925800,25224000,66161942,6773200,11718800,2690800,6968800,4370700,8996600,943100
