,EqualWeight_weekly,Markowitz_CVXPY_weekly,HMM_MPC_SHY_weekly
2013-04-11,0.0,0.0,0.0
2013-04-12,0.0,0.0,0.0
2013-04-15,3.7979548638983133e-06,0.0006330637974287709,0.0003598113496902356
2013-04-16,0.0,0.0,0.0
2013-04-17,0.0,0.0,0.0
2013-04-18,0.0,0.0,0.0
2013-04-19,0.0,0.0,0.0
2013-04-22,7.910304506021676e-06,4.361390508582327e-05,0.00014481413785627083
2013-04-23,0.0,0.0,0.0
2013-04-24,0.0,0.0,0.0
2013-04-25,0.0,0.0,0.0
2013-04-26,0.0,0.0,0.0
2013-04-29,6.026734915737686e-06,5.536576656818614e-05,2.0074492148443782e-10
2013-04-30,0.0,0.0,0.0
2013-05-01,0.0,0.0,0.0
2013-05-02,0.0,0.0,0.0
2013-05-03,0.0,0.0,0.0
2013-05-06,5.5958256421318884e-06,2.155558167459258e-05,5.777824551165678e-11
2013-05-07,0.0,0.0,0.0
2013-05-08,0.0,0.0,0.0
2013-05-09,0.0,0.0,0.0
2013-05-10,0.0,0.0,0.0
2013-05-13,5.49987942696311e-06,3.654441863751411e-05,1.7936478673801482e-11
2013-05-14,0.0,0.0,0.0
2013-05-15,0.0,0.0,0.0
2013-05-16,0.0,0.0,0.0
2013-05-17,0.0,0.0,0.0
2013-05-20,2.9486696774361778e-06,3.739102050532056e-05,2.189460372156871e-05
2013-05-21,0.0,0.0,0.0
2013-05-22,0.0,0.0,0.0
2013-05-23,0.0,0.0,0.0
2013-05-24,0.0,0.0,0.0
2013-05-28,3.7159588424581505e-06,3.128229308498288e-05,4.753634229628915e-05
2013-05-29,0.0,0.0,0.0
2013-05-30,0.0,0.0,0.0
2013-05-31,0.0,0.0,0.0
2013-06-03,5.5939572530954165e-06,7.994991775994248e-06,2.587063179923746e-05
2013-06-04,0.0,0.0,0.0
2013-06-05,0.0,0.0,0.0
2013-06-06,0.0,0.0,0.0
2013-06-07,0.0,0.0,0.0
2013-06-10,2.1092799902265037e-06,1.0836994883871416e-05,4.898647996466938e-14
2013-06-11,0.0,0.0,0.0
2013-06-12,0.0,0.0,0.0
2013-06-13,0.0,0.0,0.0
2013-06-14,0.0,0.0,0.0
2013-06-17,3.4517412048406386e-06,7.700758870137764e-06,2.117980054113018e-09
2013-06-18,0.0,0.0,0.0
2013-06-19,0.0,0.0,0.0
2013-06-20,0.0,0.0,0.0
2013-06-21,0.0,0.0,0.0
2013-06-24,2.3939078401947826e-06,5.255616915249672e-06,2.9584541319483484e-05
2013-06-25,0.0,0.0,0.0
2013-06-26,0.0,0.0,0.0
2013-06-27,0.0,0.0,0.0
2013-06-28,0.0,0.0,0.0
2013-07-01,4.560992975436627e-06,8.642046709161483e-05,2.948108178730431e-05
2013-07-02,0.0,0.0,0.0
2013-07-03,0.0,0.0,0.0
2013-07-05,0.0,0.0,0.0
2013-07-08,4.511980155882507e-06,5.732282499123271e-05,1.0243893155835686e-06
2013-07-09,0.0,0.0,0.0
2013-07-10,0.0,0.0,0.0
2013-07-11,0.0,0.0,0.0
2013-07-12,0.0,0.0,0.0
2013-07-15,3.964782267727916e-06,2.9666964710996946e-05,8.944839794011233e-05
2013-07-16,0.0,0.0,0.0
2013-07-17,0.0,0.0,0.0
2013-07-18,0.0,0.0,0.0
2013-07-19,0.0,0.0,0.0
2013-07-22,4.6662057058447715e-06,3.781061182298438e-05,1.589167977156816e-05
2013-07-23,0.0,0.0,0.0
2013-07-24,0.0,0.0,0.0
2013-07-25,0.0,0.0,0.0
2013-07-26,0.0,0.0,0.0
2013-07-29,2.5485986984635707e-06,0.00015912106818202355,1.5216242798062559e-05
2013-07-30,0.0,0.0,0.0
2013-07-31,0.0,0.0,0.0
2013-08-01,0.0,0.0,0.0
2013-08-02,0.0,0.0,0.0
2013-08-05,3.203650652314399e-06,4.5924874031794154e-05,4.625733173881332e-06
2013-08-06,0.0,0.0,0.0
2013-08-07,0.0,0.0,0.0
2013-08-08,0.0,0.0,0.0
2013-08-09,0.0,0.0,0.0
2013-08-12,2.633833158636398e-06,8.113823222486805e-05,2.4116056206227734e-12
