,EqualWeight_weekly,Markowitz_CVXPY_weekly,HMM_MPC_SHY_weekly
2013-04-11,0.0,0.0,0.0
2013-04-12,0.0,0.0,0.0
2013-04-15,0.003797954863898313,0.6330637974287708,0.35000012734377306
2013-04-16,0.0,0.0,0.0
2013-04-17,0.0,0.0,0.0
2013-04-18,0.0,0.0,0.0
2013-04-19,0.0,0.0,0.0
2013-04-22,0.007910304506021676,0.04361390508582327,0.1415403076720208
2013-04-23,0.0,0.0,0.0
2013-04-24,0.0,0.0,0.0
2013-04-25,0.0,0.0,0.0
2013-04-26,0.0,0.0,0.0
2013-04-29,0.006026734915737686,0.055365766568186134,1.973921439940994e-07
2013-04-30,0.0,0.0,0.0
2013-05-01,0.0,0.0,0.0
2013-05-02,0.0,0.0,0.0
2013-05-03,0.0,0.0,0.0
2013-05-06,0.005595825642131888,0.02155558167459258,5.6794042107625924e-08
2013-05-07,0.0,0.0,0.0
2013-05-08,0.0,0.0,0.0
2013-05-09,0.0,0.0,0.0
2013-05-10,0.0,0.0,0.0
2013-05-13,0.00549987942696311,0.03654441863751411,1.7755303575188638e-08
2013-05-14,0.0,0.0,0.0
2013-05-15,0.0,0.0,0.0
2013-05-16,0.0,0.0,0.0
2013-05-17,0.0,0.0,0.0
2013-05-20,0.0029486696774361776,0.03739102050532056,0.02168558561426204
2013-05-21,0.0,0.0,0.0
2013-05-22,0.0,0.0,0.0
2013-05-23,0.0,0.0,0.0
2013-05-24,0.0,0.0,0.0
2013-05-28,0.0037159588424581502,0.031282293084982885,0.047088309576803336
2013-05-29,0.0,0.0,0.0
2013-05-30,0.0,0.0,0.0
2013-05-31,0.0,0.0,0.0
2013-06-03,0.005593957253095416,0.007994991775994248,0.02562979707761932
2013-06-04,0.0,0.0,0.0
2013-06-05,0.0,0.0,0.0
2013-06-06,0.0,0.0,0.0
2013-06-07,0.0,0.0,0.0
2013-06-10,0.0021092799902265036,0.010836994883871416,3.309037502283128e-11
2013-06-11,0.0,0.0,0.0
2013-06-12,0.0,0.0,0.0
2013-06-13,0.0,0.0,0.0
2013-06-14,0.0,0.0,0.0
2013-06-17,0.0034517412048406387,0.007700758870137763,1.4304276667592264e-06
2013-06-18,0.0,0.0,0.0
2013-06-19,0.0,0.0,0.0
2013-06-20,0.0,0.0,0.0
2013-06-21,0.0,0.0,0.0
2013-06-24,0.0023939078401947825,0.005255616915249672,0.019972383058138025
2013-06-25,0.0,0.0,0.0
2013-06-26,0.0,0.0,0.0
2013-06-27,0.0,0.0,0.0
2013-06-28,0.0,0.0,0.0
2013-07-01,0.004560992975436627,0.08642046709161483,0.029420648291419778
2013-07-02,0.0,0.0,0.0
2013-07-03,0.0,0.0,0.0
2013-07-05,0.0,0.0,0.0
2013-07-08,0.004511980155882507,0.0573228249912327,0.0010223207901748285
2013-07-09,0.0,0.0,0.0
2013-07-10,0.0,0.0,0.0
2013-07-11,0.0,0.0,0.0
2013-07-12,0.0,0.0,0.0
2013-07-15,0.003964782267727916,0.029666964710996942,0.0878192184118578
2013-07-16,0.0,0.0,0.0
2013-07-17,0.0,0.0,0.0
2013-07-18,0.0,0.0,0.0
2013-07-19,0.0,0.0,0.0
2013-07-22,0.004666205705844771,0.037810611822984376,0.015606124695229331
2013-07-23,0.0,0.0,0.0
2013-07-24,0.0,0.0,0.0
2013-07-25,0.0,0.0,0.0
2013-07-26,0.0,0.0,0.0
2013-07-29,0.002548598698463571,0.15912106818202354,0.014970291152008472
2013-07-30,0.0,0.0,0.0
2013-07-31,0.0,0.0,0.0
2013-08-01,0.0,0.0,0.0
2013-08-02,0.0,0.0,0.0
2013-08-05,0.0032036506523143993,0.045924874031794155,0.004551957633649954
2013-08-06,0.0,0.0,0.0
2013-08-07,0.0,0.0,0.0
2013-08-08,0.0,0.0,0.0
2013-08-09,0.0,0.0,0.0
2013-08-12,0.0026338331586363978,0.08113823222486805,2.3581718180695658e-09
2013-08-13,0.0,0.0,0.0
2013-08-14,0.0,0.0,0.0
2013-08-15,0.0,0.0,0.0
2013-08-16,0.0,0.0,0.0
2013-08-19,0.005459491306774519,0.049077604305519267,0.08299163031793008
