decision_date,effective_date,alpha_shrink,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2013-01-11,2013-01-14,0.25,-6.978160492032865e-05,-8.766785530070186e-05,7.211518363852147e-05,-2.7881056114624096e-05,2.3424488855269143e-05,2.7807725830871833e-05,-7.341466799501337e-05,6.292755112013244e-05,7.247023488587322e-05
2013-01-18,2013-01-22,0.25,-7.399549878153936e-05,-6.907430758145806e-05,7.63752310120836e-05,-2.6886337304508136e-05,7.255251592057881e-06,2.115366678926518e-05,-4.886521905066933e-05,4.840566971144026e-05,6.563154361332818e-05
2013-01-25,2013-01-28,0.25,-6.189582361711204e-05,-7.927849846167051e-05,7.489410134352991e-05,-3.000198388806221e-05,-6.151097984593776e-06,2.4941355745593496e-05,-3.918618460490916e-05,4.795886113826133e-05,6.871927032896322e-05
2013-02-01,2013-02-04,0.25,-6.456936326698648e-05,-6.94065653002871e-05,8.378363075388714e-05,-2.5930872565718997e-05,-6.523193615106456e-07,2.9243370300330795e-05,-5.599298269673989e-05,3.6710975729946024e-05,6.68141264070793e-05
2013-02-08,2013-02-11,0.25,-4.1582756809281255e-05,-7.905071225044608e-05,6.840107508323542e-05,-2.386737251335974e-05,-2.4283034118495204e-05,2.5530723438719067e-05,-5.0212206268897524e-05,6.562691523010367e-05,5.9437368208421754e-05
2013-02-15,2013-02-19,0.25,-2.3878978972418854e-05,-6.87152308099658e-05,7.538824290844731e-05,-3.0562935570385374e-05,-5.099987831495343e-05,2.4383027351092094e-05,-5.016538257052218e-05,6.191444207045524e-05,6.263669390825106e-05
2013-02-22,2013-02-25,0.25,-4.3133682305453736e-05,-8.391463284263161e-05,7.706857586007828e-05,-2.0055965495399772e-05,-6.276012576567365e-05,2.8910944133068078e-05,-4.9171128842367094e-05,8.097850992409044e-05,7.207750533428918e-05
2013-03-01,2013-03-04,0.25,-4.7434504648021634e-05,-7.509283358177852e-05,7.655641677615889e-05,-1.7408883822939158e-05,-8.611137648491824e-05,3.089461056955388e-05,-2.7973201451119117e-05,8.31188140380031e-05,6.345095860506078e-05
2013-03-08,2013-03-11,0.25,-2.850849288890919e-05,-6.275199964958747e-05,8.649025364522735e-05,7.740939698081613e-07,-8.281933399703749e-05,1.3616072591287812e-05,-5.76271306394168e-05,8.255209416526378e-05,4.8274442803363806e-05
2013-03-15,2013-03-18,0.25,-2.8724309122154447e-05,-4.9948285650945663e-05,6.443753875383073e-05,-6.979014327224766e-06,-8.866338324290471e-05,2.8584133376860564e-05,-4.473807626990717e-05,7.63173592916479e-05,4.971403719079747e-05
2013-03-22,2013-03-25,0.25,-6.691655224673953e-05,-4.346158017332145e-05,2.2823548494066756e-05,1.3499481925722731e-06,-9.940796827056166e-05,6.402486976324267e-05,-2.240030190904334e-07,8.548136884981827e-05,3.633036841001297e-05
2013-03-28,2013-04-01,0.25,-6.926393666755133e-05,-2.1722628848232716e-05,2.120481992284523e-05,6.5202441159774446e-06,-0.0001163441946713582,5.747996313761492e-05,2.576687904974693e-06,8.275658731815347e-05,3.679245778757649e-05
2013-04-05,2013-04-08,0.25,-7.376745072786357e-05,-3.1696877469676566e-05,4.4482911978846755e-05,1.9721878464284764e-06,-0.00012798088506154194,4.3115260427744484e-05,-4.978240523002874e-06,8.680237382069911e-05,6.205071970836611e-05
2013-04-12,2013-04-15,0.25,-4.262857003728502e-05,-1.2672434070422432e-05,7.559384237815388e-05,1.9524286199970934e-05,-0.00013930683190580519,5.134804664060354e-06,-4.6338933125980255e-05,7.895684340139748e-05,6.173699249591028e-05
2013-04-19,2013-04-22,0.25,-8.272435978264396e-05,-3.67633124531824e-06,8.092328553586136e-05,-5.734736071726516e-06,-0.00016303228994430708,3.8508189862437815e-05,-1.977391573733831e-05,0.00010445099391283671,5.105916347019821e-05
2013-04-26,2013-04-29,0.25,-7.636888062217037e-05,-1.5610279147900482e-06,5.340905127863263e-05,-2.2191322297865796e-05,-0.00011499193854927761,4.718746784928055e-05,-3.0518024978495016e-05,8.369384089053242e-05,6.134083434415332e-05
2013-05-03,2013-05-06,0.25,-6.746591506073623e-05,-4.7936381582706835e-05,3.953211903901229e-05,-6.542004063283245e-06,-9.668024143589618e-05,5.640496635641253e-05,4.9283665881744935e-06,8.885895477000601e-05,2.890013538901727e-05
2013-05-10,2013-05-13,0.25,-6.424708723121978e-05,-8.283395662971477e-06,5.048128085836657e-05,-7.904446728815518e-06,-0.00010029730576851789,2.7553680820110722e-05,-2.230749777836432e-05,8.539129794976348e-05,3.961347354164825e-05
2013-05-17,2013-05-20,0.25,-6.702143230847207e-05,-2.0208170692190844e-05,6.670937077853898e-05,-1.7469967628134375e-05,-0.00011334643386997408,3.8776408588176825e-05,-1.7746264745341903e-05,9.268980063650666e-05,3.761668924089095e-05
2013-05-24,2013-05-28,0.25,-3.769025960449174e-05,-3.531030369859187e-05,0.00011437989961020725,-3.420395409707314e-05,-0.0001254298999478515,1.291048753103457e-05,-5.242305035728495e-05,0.00010199825773277073,5.576882283128069e-05
2013-05-31,2013-06-03,0.25,-7.95401324488751e-05,-3.520489310488559e-05,0.00011915827501393801,-3.89382083747804e-05,-0.00011828353850273385,2.415958117158568e-05,-3.089531361847629e-05,0.00010777477879858404,5.1769451065643616e-05
2013-06-07,2013-06-10,0.25,-4.957440258741635e-05,3.0132860181778063e-05,0.0001296076099717908,3.0446294735449154e-05,-0.00013958608258176069,-9.201870281226663e-06,-0.00014004276543396938,7.476925124104146e-05,7.344910475431336e-05
2013-06-14,2013-06-17,0.25,-5.323962753807165e-05,8.993246774221717e-06,0.00011811824769807829,8.934809469012374e-06,-0.00012187505597979023,1.3105202167078723e-06,-0.00012589411408950906,8.942028936108687e-05,7.423168408826394e-05
2013-06-21,2013-06-24,0.25,-6.24809394513896e-05,2.411496522794303e-05,0.00011212056693351354,2.2288795202800445e-05,-0.00011643217594650061,-2.173055896771594e-06,-0.0001267398461014075,8.254507437951758e-05,6.675661565229456e-05
2013-06-28,2013-07-01,0.25,-3.507185629035941e-05,5.148144655599417e-05,0.00011474383703932557,3.4541638134162747e-05,-0.00010376813708689301,-2.9759772519108657e-05,-0.00015091839857360985,6.550914391157127e-05,5.324209882891725e-05
2013-07-05,2013-07-08,0.25,-5.3350859639658417e-05,2.558575834521603e-05,0.00012212427438116472,3.9342661646770755e-05,-0.00010774688439116671,-2.603996490285461e-05,-0.00015859728582618438,7.21882827576958e-05,8.649401762901693e-05
2013-07-12,2013-07-15,0.25,-4.7752312701472625e-05,2.1767255638049964e-05,0.00012373883660775023,4.6479724983826485e-05,-0.00010525935742508334,-3.7231253486168995e-05,-0.00015594263364946903,7.296772805008637e-05,8.123201198248123e-05
2013-07-19,2013-07-22,0.25,-4.4064375582063893e-05,-3.934953873939613e-06,0.00011895115963991821,6.238507717115931e-05,-8.913486775593643e-05,-4.267906557362105e-05,-0.0001554112578379322,5.578011886393856e-05,9.810816494847699e-05
2013-07-26,2013-07-29,0.25,-5.9788272626396384e-05,-1.9737728029397026e-05,0.0001352362057416487,4.234399854451972e-05,-0.0001107520236283659,-3.057998042737612e-05,-0.00014614653083599733,8.62933190051336e-05,0.0001031310122562312
2013-08-02,2013-08-05,0.25,-5.272633312918587e-05,-3.0392688381441628e-05,0.00013978965565455078,2.90958854387391e-05,-0.00010718031248326744,-3.145714552867614e-05,-0.00014742153825895402,6.957404245434029e-05,0.00013071843423389474
