decision_date,effective_date,solver_status,turnover,transaction_cost,cost_multiplier,prob_calm,prob_transition,prob_stress,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2013-01-11,2013-01-14,optimal,0.1,0.00010071056845188276,1.0071056845188275,0.9857886309625913,0.014211369037162302,2.464200591879237e-13,0.07117703862052825,0.051274274352310856,0.11097999564865929,0.11072796663276122,0.11081820902138813,0.18045225235011184,0.11036254800869637,0.14328614911254586,0.11092156625299829
2013-01-18,2013-01-22,optimal,0.10000000000000002,0.00010072843899643052,1.007284389964305,0.9854312200719051,0.014568779927580105,5.148554568080934e-13,0.015269932719527477,0.0077338351077418524,0.11002365514034489,0.11187119515656391,0.10886617744192459,0.23059149295750273,0.1476304231140337,0.1561714253763584,0.11184186298600236
2013-01-25,2013-01-28,optimal,0.027846276322165617,2.838968759989656e-05,1.0195146838106461,0.960970768127746,0.0390290961232155,1.3574903851615066e-07,2.421615916758881e-09,2.447452924266867e-09,0.11069404562003007,0.10716180608976139,0.10719399578827428,0.24330152929923388,0.16209674098890445,0.15669501603767524,0.11285686130705178
2013-02-01,2013-02-04,optimal,0.006719056125946681,6.847634586641973e-06,1.0191363873563677,0.961727233818737,0.0382727576497906,8.531472423413983e-09,4.811232063050495e-10,4.975355689525351e-10,0.11074109183378879,0.09963597038309883,0.10794828864824503,0.2508820747570478,0.16287460396235906,0.15696702964503767,0.110950939791764
2013-02-08,2013-02-11,optimal,6.75721616990885e-10,6.82043811454094e-13,1.00935621164728,0.9906437883527199,1.6639195927620972e-17,0.009356211647280104,1.4743463865894935e-10,1.5308047793501685e-10,0.11020288672819031,0.09955129587124337,0.10820775706731843,0.2518881254224375,0.16221931505531043,0.1567988188859156,0.1111318006690692
2013-02-15,2013-02-19,optimal,2.0713369938063914e-10,2.090492830619185e-13,1.0092480542133282,0.9907519457866717,4.13224260438595e-18,0.009248054213328302,4.528680306493755e-11,4.679447878918536e-11,0.11085846705987222,0.10034103021545665,0.10733024712111963,0.2519747633600803,0.16184647763495547,0.15638266679730853,0.11126634771912586
2013-02-22,2013-02-25,optimal,0.03636439359914401,3.669766025696862e-05,1.0091646422458824,0.9908353577541176,1.0883296399998765e-16,0.0091646422458824,8.829025176716177e-12,9.351012118850444e-12,0.11032225241163982,0.09943266814005355,0.0702439399426076,0.2553772998083073,0.16326516768563595,0.19209431445741657,0.10926435753615918
2013-03-01,2013-03-04,optimal,0.05047606448840034,5.093203117585794e-05,1.0090333248457273,0.9909666751542726,1.5467253561199276e-16,0.009033324845727301,1.7841212975553408e-12,1.8746847734601094e-12,0.10924230213168627,0.09916288351160672,0.019451005211000474,0.25404499017746773,0.17473429533323942,0.2327360901987851,0.11062843343255542
2013-03-08,2013-03-11,optimal,0.01948757694427923,1.9662156553938703e-05,1.0089585077795278,0.9910414922204722,6.372536376010366e-19,0.008958507779527699,3.6279334194246624e-13,3.770225525753181e-13,0.1108913192912163,0.09953831986915096,0.0,0.25200693755508163,0.17368723409955764,0.2519318016047851,0.1119443875794683
2013-03-15,2013-03-18,optimal,5.601955833519498e-13,5.651433786980311e-16,1.0088322641111804,0.9911677358888196,2.4444974083006085e-19,0.0088322641111805,8.967513713947246e-14,9.277348236106038e-14,0.11170561605797369,0.09957951602941337,1.3716140011223094e-14,0.250514406763198,0.17461986904905175,0.2522033862347272,0.11137720586543975
