,g5_a025_cap10_s1,g5_a025_cap25_s1,g5_a075_cap10_s1,g5_a075_cap25_s1,g5_a100_cap10_s1,g5_a100_cap25_s1,g8_a025_cap10_s1,g8_a025_cap25_s1,g8_a075_cap10_s1,g8_a075_cap25_s1,g8_a100_cap10_s1,g8_a100_cap25_s1
2013-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-14,1.4063541837497396e-15,1.9497076590765444e-18,0.00010071056845258407,0.00022403198052807168,0.0001007733563172476,0.000251776421129707,7.715636327164836e-05,7.715636327164836e-05,0.00010071056845188276,0.0002517764211297068,0.00010071056845188279,0.00025177642112970684
2013-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-22,6.290495561721804e-20,0.0,0.00010073217521589949,9.018356973972849e-13,0.00010072843899643048,0.00011275788524708124,4.3802528957653325e-06,4.3802528957653325e-06,0.00010072843899643059,3.646893397292176e-19,0.00010072867817283813,8.477014103782865e-05
2013-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-28,6.366873801993838e-20,0.0,2.290697394776839e-05,4.003517070401099e-13,0.00010195146838116632,2.285084824317859e-13,1.6133375722368533e-06,1.6133375722368533e-06,2.3084871029941246e-05,1.3496285548441617e-18,0.0001019514683810646,1.2620993641269687e-13
2013-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-04,0.0,0.0,7.229363569738746e-15,8.68813562739209e-14,5.4790862429175474e-05,2.924810421174266e-05,2.16669181014954e-16,4.631949918887524e-19,3.1528149497102664e-06,6.532908689433101e-19,3.489626183777648e-05,4.5229408352775573e-14
2013-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-11,0.0,0.0,5.65522955680546e-11,2.9027851370148644e-14,0.00010093562159911068,0.0001454559776914447,6.723663037315398e-19,5.41605065287083e-17,5.3329009401533294e-05,3.1214642146434676e-05,0.00010093562117299825,0.00010930580807895752
2013-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-19,0.0,0.0,0.00010092480542774505,0.00010846840796586967,5.726399170314096e-05,5.5575115697642424e-11,7.983494294838648e-19,9.9093372168392e-19,0.00010092481459011694,0.00010853957033971431,8.387193285839805e-06,2.9939889949496677e-15
2013-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-25,6.239215368249737e-18,8.192909069418848e-19,6.334240616516672e-05,3.932844602445028e-05,4.37747141666132e-05,1.888738982978743e-05,1.244017724719327e-05,1.2440177247263e-05,4.9307683555706254e-05,3.7422042469985836e-05,6.932103156523325e-05,5.730313647027697e-05
2013-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-04,0.0,6.301417667950133e-20,2.5386597408589273e-05,1.821473640477151e-05,9.220606456317944e-10,1.16429287432895e-11,1.89174040571735e-05,1.8917404057213708e-05,1.3972038176246369e-05,1.5250289538873522e-05,2.1856727134352075e-10,1.5683095912226009e-16
2013-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-11,0.0,0.0,1.2460391898719132e-13,1.9765838336909515e-12,3.5657696029570024e-10,3.65639756209754e-12,1.7502640097316747e-21,2.6253960145975123e-21,1.0396181590741197e-11,1.0806084635855298e-11,4.312000452458494e-05,5.499276195384967e-05
2013-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-18,0.0,6.300162042755397e-20,4.46983304592516e-14,5.202818254823612e-13,1.6430324645627305e-10,1.191531520357871e-12,1.1900306080760196e-19,1.618791635985762e-19,2.9409484565840736e-12,2.7049153957387354e-12,2.0330280184330357e-10,5.374629735153422e-09
2013-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-25,0.0,6.299839143316396e-20,1.1628383884048036e-14,1.3646912342378442e-13,1.0797354777355296e-05,3.3796675716559096e-13,2.0150897318540644e-05,2.015089731858388e-05,8.45276171256002e-13,2.971151546013992e-08,2.864048836148724e-05,2.7599183420918924e-05
2013-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-01,6.315506338328534e-20,6.315506338328534e-20,3.0484956145034485e-15,3.573919334602785e-14,8.582145320398247e-12,1.3649213189059577e-13,1.8968710493874153e-10,1.5463832009673014e-12,2.436706338480079e-13,1.0986589258130503e-20,2.1724929067400504e-11,3.569130653811073e-06
2013-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-08,6.364372307149399e-20,6.364372307149399e-20,7.921468345195136e-16,9.302363175201649e-15,3.917021371108168e-12,6.22762700018958e-14,0.0,9.28137628125954e-20,6.971727677803588e-14,4.7651432049886186e-21,9.422773869959463e-12,4.014716965367225e-06
2013-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-15,1.2666658582547532e-19,6.333329291273766e-20,2.0503326568892466e-16,2.4168115633101775e-15,1.2496810238654699e-12,1.9870052172172892e-14,8.611568577995857e-19,3.3775117332922053e-17,1.9926979777251865e-14,6.836347182569136e-20,3.0097410487334906e-12,7.676092039182097e-07
2013-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-22,2.239073592874922e-19,4.688060335081868e-19,2.8741817015825113e-05,3.3696822437526174e-05,3.512077797141685e-13,5.504744811530757e-15,3.705373756909571e-05,3.705376499149811e-05,5.6110747549132496e-15,3.7690760607124564e-07,8.504105090642251e-13,9.80253038753663e-07
2013-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-29,0.0,0.0,5.314486226424921e-10,1.122704664558428e-16,1.6364495502355402e-13,2.657868268116774e-15,8.729666145761675e-22,1.527691575508293e-19,1.6689784810870026e-15,1.565852236727159e-08,3.9672542762017275e-13,1.6455260313723128e-09
2013-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-06,6.298184360662332e-20,0.0,2.214706962633849e-10,4.326512691169451e-17,4.7544262828590264e-14,7.740362234638935e-16,5.390695971610044e-10,5.345066854937744e-12,4.980276587055119e-16,5.8596143393098846e-09,1.1526481470796291e-13,1.060584634364689e-09
2013-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-13,6.27175899603503e-20,6.27175899603503e-20,6.500819217654859e-11,1.1425000026535537e-17,1.908706546841316e-14,1.3028872598133017e-14,7.926806508877607e-20,8.710776383381987e-21,1.45747226698257e-16,2.157295962907299e-09,5.2522579162457027e-14,1.3507940161041726e-10
2013-05-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-20,6.306996965040179e-20,6.306996965040179e-20,1.908108024755254e-11,2.4941733839066262e-18,7.774691402040667e-15,3.1760452861802574e-16,4.029470283220114e-20,1.5417103692320438e-19,4.2703354241371353e-17,7.947783544411477e-10,1.7176125879863987e-14,4.41607857090745e-11
2013-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-28,6.304737693290863e-20,6.304737693290863e-20,9.599804984622189e-05,0.00010619335784131745,3.118139880353769e-15,1.6182182791208832e-16,8.58144852697923e-20,7.005264103656515e-21,1.2348285295889267e-17,3.233874620681406e-10,5.514129609430994e-15,1.4167603948646713e-11
2013-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-03,6.303726396213394e-20,6.303726396213394e-20,1.0739659241856451e-12,5.644056361755365e-14,1.2698006166319764e-15,4.956220154738598e-17,7.792106239763778e-20,1.751035110059276e-21,3.571983996578143e-18,9.548035401928813e-11,1.80909362039469e-15,4.6473601169422626e-12
2013-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-10,0.0,9.218755397485611e-20,2.9715648726772114e-09,2.0788072829779435e-14,8.508009065369672e-16,3.3413044366359505e-17,1.139540597744749e-19,6.786028278704686e-20,1.1846301685548367e-18,3.620549826172214e-11,8.561092663612449e-16,2.2001062532152743e-12
2013-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-17,0.0,9.224590198386335e-20,1.0908654122115835e-11,4.896166264254499e-11,2.7617279120248917e-16,1.0998290271261125e-17,5.509130257369617e-20,5.893488182302382e-20,6.387581281760737e-19,1.4699162086518002e-11,2.773491631056837e-16,7.123655417337309e-13
2013-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-24,0.0,9.227329577847242e-20,3.7525791555209856e-12,3.276838349152304e-11,8.98143364476674e-17,3.4764930354856655e-18,1.166231932755693e-19,3.844720657436351e-21,5.325531525386637e-19,3.838716004988187e-12,9.017531585298302e-17,2.3168904024029184e-13
2013-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-01,9.22953322302695e-20,9.22953322302695e-20,2.994276193123405e-06,3.113771608380525e-06,2.6254329531228095e-17,1.6645259790296508e-18,6.153022148684633e-20,1.1921480413076478e-19,6.67929125220289e-19,1.3886184741796912e-12,2.6845718247023385e-17,4.205079907908656e-13
2013-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
