,g5_a025_cap10_s1,g5_a025_cap25_s1,g5_a075_cap10_s1,g5_a075_cap25_s1,g5_a100_cap10_s1,g5_a100_cap25_s1,g8_a025_cap10_s1,g8_a025_cap25_s1,g8_a075_cap10_s1,g8_a075_cap25_s1,g8_a100_cap10_s1,g8_a100_cap25_s1
2013-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-14,1.396431581479618e-12,1.9359513991901167e-15,0.10000000000069637,0.22245131168642854,0.10006234486244098,0.2500000000000001,0.07661198269227518,0.07661198269227518,0.1,0.2499999999999999,0.10000000000000003,0.24999999999999997
2013-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-22,6.245004513516506e-17,0.0,0.10000370920020821,8.953138819407725e-10,0.09999999999999998,0.11194245276756153,0.004348576171145226,0.004348576171145226,0.10000000000000009,3.620520116887159e-16,0.10000023744675289,0.08415710784601024
2013-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-28,6.245004513516506e-17,0.0,0.02246850811618412,3.9268851483699374e-10,0.10000000000009976,2.241345672214238e-10,0.0015824564352586584,0.0015824564352586584,0.022643000043566598,1.323795111807166e-15,0.09999999999999999,1.237941330486396e-10
2013-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-04,0.0,0.0,7.093617360176552e-12,8.524997964138097e-11,0.05376205099623865,0.02869891073913279,2.1260077032181357e-13,4.544975507059235e-16,0.0030936143472304477,6.410239856492042e-16,0.03424101255799249,4.43801329379479e-11
2013-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-11,0.0,0.0,5.602808494709777e-08,2.8758778155013167e-11,0.10000000043035617,0.1441076757768786,6.661338147750939e-16,5.36584665589146e-14,0.05283467698137983,0.030925298508335378,0.10000000000819358,0.10829259959729111
2013-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-19,0.0,0.0,0.10000000000635346,0.1074744781652483,0.05673926391443592,5.506586360571305e-08,7.91033905045424e-16,9.818534874028728e-16,0.1000000090847677,0.10754498845610054,0.008310338821883896,2.9665541414230144e-12
2013-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-25,6.1825544683813405e-15,8.118505867571457e-16,0.0627671675299672,0.03897128811105128,0.0433771778499821,0.018715865617084833,0.012327202843242527,0.012327202843311624,0.0488599000515641,0.03708219739714976,0.06869149855563729,0.05678274294544209
2013-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-04,0.0,6.245004513516506e-17,0.02515932505249088,0.01805166980739352,9.138059397322381e-07,1.1538695954436992e-08,0.01874804685966721,0.018748046859707056,0.013846954141363544,0.015113762016933548,2.1661055780981055e-07,1.554269371095729e-13
2013-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-11,0.0,0.0,1.2349756508958355e-10,1.959033814027627e-09,3.5341092576783897e-07,3.62393253429656e-09,1.734723475976807e-18,2.6020852139652106e-18,1.0303874253085653e-08,1.0710137783204646e-08,0.042737143492135844,0.054504483117819545
2013-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-18,0.0,6.245004513516506e-17,4.430699933911464e-11,5.157267902615598e-10,1.6286478168997742e-07,1.1810997355518318e-09,1.1796119636642288e-16,1.6046192152785466e-16,2.915200634641836e-09,2.6812340286537807e-09,2.0152289838035765e-07,5.3275751840556715e-06
2013-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-25,0.0,6.245004513516506e-17,1.1527168898879841e-11,1.3528127819602208e-10,0.010703373179005679,3.3502504998986e-10,0.019975501253742693,0.019975501253785555,8.379187761106568e-10,2.9452902515588954e-05,0.028391197777892518,0.027358956492701092
2013-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-01,6.245004513516506e-17,6.245004513516506e-17,3.01446437579665e-12,3.534022638863394e-11,8.486340348717985e-09,1.349684307247257e-10,1.8756957289537551e-07,1.5291204778083989e-09,2.4095046804987896e-10,1.086394278298447e-17,2.1482407397543552e-08,0.003529287415501091
2013-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-08,6.245004513516506e-17,6.245004513516506e-17,7.772896238934704e-13,9.127891520463863e-12,3.843555178981596e-09,6.110823950539861e-11,0.0,9.107298248878237e-17,6.840968553329689e-11,4.67576995602182e-18,9.246043837133567e-09,0.00393941843110673
2013-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-15,1.249000902703301e-16,6.245004513516506e-17,2.0217386634429064e-13,2.38310664534473e-12,1.232252939263511e-09,1.959294389919071e-11,8.491471414906471e-16,3.330408865354073e-14,1.9649077590384014e-11,6.741007303999448e-17,2.9677671204865315e-09,0.0007569041056638178
2013-04-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-22,2.220446049250313e-16,4.649058915617843e-16,0.02850270497769626,0.03341648818144673,3.482859739018246e-10,5.458949142087186e-12,0.03674547610095124,0.03674550329521822,5.564394493884452e-12,0.00037377199547904334,8.433356818201236e-10,0.0009720980114688769
2013-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-29,0.0,0.0,5.280364601463415e-07,1.1154963464116771e-13,1.6259427363230457e-10,2.6408034418329407e-12,8.673617379884035e-19,1.5178830414797062e-16,1.6582628153811978e-12,1.555798692416314e-05,3.941782545394261e-10,1.6349609419705004e-06
2013-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-06,6.245004513516506e-17,0.0,2.1960066879195534e-07,4.289981006732276e-14,4.714281433405627e-11,7.675005100436509e-13,5.34517866513512e-07,5.2999348260779344e-09,4.938224730126676e-13,5.810137636651847e-06,1.1429155561034944e-10,1.051629398139309e-06
2013-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-13,6.245004513516506e-17,6.245004513516506e-17,6.47308759495941e-08,1.1376262509089901e-14,1.9005642607661107e-11,1.2973293175456987e-11,7.892991815694472e-17,8.673617379884035e-18,1.4512548858120133e-13,2.1480932277315094e-06,5.2298524885671495e-11,1.34503171004094e-07
2013-05-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-20,6.245004513516506e-17,6.245004513516506e-17,1.8893529349903076e-08,2.4696577668149216e-15,7.698272754223947e-12,3.144827444387739e-13,3.9898639947466563e-17,1.5265566588595902e-16,4.22836163483011e-14,7.869663547076987e-07,1.700729907419496e-11,4.372672249602843e-08
2013-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-28,6.245004513516506e-17,6.245004513516506e-17,0.09508853242481446,0.10518724668438094,3.0885975870664574e-12,1.6028867414609198e-13,8.500145032286355e-17,6.938893903907228e-18,1.223129353804511e-14,3.2032358180091785e-07,5.461886913337586e-12,1.4033375361383364e-08
2013-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-03,6.245004513516506e-17,6.245004513516506e-17,1.063961476489697e-09,5.591479584976361e-11,1.2579718857874573e-12,4.9100508637107806e-14,7.719519468096792e-17,1.734723475976807e-18,3.538709451958278e-15,9.459091406010052e-08,1.7922411466851207e-12,4.604067988051452e-09
2013-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-10,0.0,6.245004513516506e-17,2.013008832747398e-06,1.4082335744008447e-11,5.763528016890946e-13,2.2634792212314803e-14,7.719519468096792e-17,4.597017211338539e-17,8.024966961907421e-16,2.4526467002285127e-08,5.79948811088696e-13,1.4904043863982696e-09
2013-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-17,0.0,6.245004513516506e-17,7.38510793042285e-09,3.314681710689476e-08,1.8696769075678825e-13,7.445791185065913e-15,3.729655473350135e-17,3.9898639947466563e-17,4.3243627171673612e-16,9.951264132175067e-09,1.8776408904517064e-13,4.822681471724347e-10
2013-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-24,0.0,6.245004513516506e-17,2.5397243661718133e-09,2.2177456768911016e-08,6.078583535595681e-14,2.3528708403284148e-15,7.892991815694472e-17,2.6020852139652106e-18,3.6042896411502355e-16,2.5980212991213205e-09,6.103014417753555e-14,1.5680583313146326e-10
2013-06-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-01,6.245004513516506e-17,6.245004513516506e-17,0.002026025356744748,0.0021068798690578316,1.7764539382425752e-14,1.1262728028294022e-15,4.163336342344337e-17,8.066464163292153e-17,4.519427256952685e-16,9.395847470562003e-10,1.8164692359845023e-14,2.8452948128588634e-10
2013-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-08,6.245004513516506e-17,0.0,0.008129362984920748,0.014993052495531586,7.504337478382505e-15,4.879811420956716e-17,7.632783294297951e-17,4.423544863740858e-17,0.0002899923661568509,3.456698953261922e-10,7.516781608025934e-15,1.1557423983556528e-11
