decision_date,effective_date,selected_candidate,solver_status,turnover,transaction_cost,effective_alpha,regime,prob_calm,prob_transition,prob_stress,gamma,base_alpha,turnover_cap,stress_multiplier,score,selector_reason,selection_observations,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,selection_ann_return,selection_sharpe,selection_active_return,selection_information_ratio,selection_drawdown_improvement,candidate
2013-01-11,2013-01-14,g5_a100_cap25_s1,optimal,0.2500000000000001,0.000251776421129707,0.9971577261924073,calm,0.9857886309625913,0.014211369037162302,2.464200591879237e-13,5.0,1.0,0.25,1.0,,default_until_min_history,4,9.335732112221072e-18,9.330749461015083e-18,0.11097999564865926,0.11072796663276119,0.1108182090213881,0.11141703887330644,0.08281386098153543,0.3194712148855156,0.1537717139568339,,,,,,
2013-01-18,2013-01-22,g5_a100_cap25_s1,optimal,0.11194245276756153,0.00011275788524708124,0.9970862440141494,calm,0.9854312200719051,0.014568779927580105,5.148554568080934e-13,5.0,1.0,0.25,1.0,,default_until_min_history,9,0.0,0.0,0.14113366216542356,2.90402898826788e-10,0.10893551644414323,0.11198856630539487,0.0826092194975439,0.31928422642762344,0.23604880886946822,,,,,,
2013-01-25,2013-01-28,g5_a100_cap25_s1,optimal,2.241345672214238e-10,2.285084824317859e-13,0.9921940925384819,calm,0.960970768127746,0.0390290961232155,1.3574903851615066e-07,5.0,1.0,0.25,1.0,,default_until_min_history,13,5.385994263666625e-12,5.385994263832866e-12,0.14169526684756178,6.595393514788407e-11,0.10703690058239393,0.11122191909837129,0.08267377443727414,0.31968158031824834,0.23769055863942448,,,,,,
2013-02-01,2013-02-04,g5_a100_cap25_s1,optimal,0.02869891073913279,2.924810421174266e-05,0.9923454429245848,calm,0.961727233818737,0.0382727576497906,8.531472423413983e-09,5.0,1.0,0.25,1.0,,default_until_min_history,18,8.177237146764507e-13,8.421955959180266e-13,0.17071787317586273,1.3399209190770089e-11,0.10799043180411745,0.11182319132080278,0.05452599396751968,0.32083173617762106,0.23411077353901724,,,,,,
2013-02-08,2013-02-11,g5_a100_cap25_s1,optimal,0.1441076757768786,0.0001454559776914447,0.993918462429268,calm,0.9906437883527199,1.6639195927620972e-17,0.009356211647280104,5.0,1.0,0.25,1.0,,default_until_min_history,23,2.6680322048535413e-08,2.8947233352235497e-08,0.16993982138894953,2.8022535056662374e-08,0.0,0.11230561357324223,0.018498314065346945,0.46469244286662514,0.2345637244557458,,,,,,
2013-02-15,2013-02-19,g5_a100_cap25_s1,optimal,5.506586360571305e-08,5.5575115697642424e-11,0.9939887647613366,calm,0.9907519457866717,4.13224260438595e-18,0.009248054213328302,5.0,1.0,0.25,1.0,,default_until_min_history,28,9.171625528781012e-09,9.770265658775632e-09,0.17094091042248621,9.61860403937447e-09,2.0431365648591733e-09,0.11233776716662382,0.01845474369515946,0.46343238346886817,0.23483416464323045,,,,,,
2013-02-22,2013-02-25,g5_a100_cap25_s1,optimal,0.018715865617084833,1.888738982978743e-05,0.9940429825401764,calm,0.9908353577541176,1.0883296399998765e-16,0.0091646422458824,5.0,1.0,0.25,1.0,,default_until_min_history,32,4.692717463448705e-09,4.978162648322977e-09,0.17102186179475,4.694252315897579e-09,2.2568051639752184e-09,0.11446238572175214,0.0,0.4826762895016952,0.23183944635986495,,,,,,
2013-03-01,2013-03-04,g5_a100_cap25_s1,optimal,1.1538695954436992e-08,1.16429287432895e-11,0.9941283388502773,calm,0.9909666751542726,1.5467253561199276e-16,0.009033324845727301,5.0,1.0,0.25,1.0,,default_until_min_history,37,1.3655755623259264e-09,1.415244051934271e-09,0.16885334510918631,1.3601978623634514e-09,8.532981612787217e-10,0.11353282811159414,3.8559204388918796e-10,0.48356530618581733,0.23404851521349454,,,,,,
2013-03-08,2013-03-11,g5_a100_cap25_s1,optimal,3.62393253429656e-09,3.65639756209754e-12,0.994176969943307,calm,0.9910414922204722,6.372536376010366e-19,0.008958507779527699,5.0,1.0,0.25,1.0,,default_until_min_history,42,4.119484988253992e-10,4.1872819879868514e-10,0.17075066294606436,4.092778182067712e-10,3.031064815521583e-10,0.11219392517393159,2.0501045183742944e-10,0.4811230701496364,0.2359323399822962,,,,,,
2013-03-15,2013-03-18,g5_a100_cap25_s1,optimal,1.1810997355518318e-09,1.191531520357871e-12,0.9942590283277327,calm,0.9911677358888196,2.4444974083006085e-19,0.0088322641111805,5.0,1.0,0.25,1.0,,default_until_min_history,47,1.2712460660842686e-10,1.2867712909276273e-10,0.17201954495285535,1.263301627397682e-10,1.0372190714609964e-10,0.11153919118584749,8.387170011389886e-11,0.48168380061575,0.23475746267582157,,,,,,
2013-03-22,2013-03-25,g5_a100_cap25_s1,optimal,3.3502504998986e-10,3.3796675716559096e-13,0.9942926367318413,calm,0.9912194411259098,2.102538650121302e-18,0.0087805588740902,5.0,1.0,0.25,1.0,,default_until_min_history,52,4.8840812003852975e-11,4.955430467868661e-11,0.16914394538359898,4.9011952512546895e-11,4.3215432631362553e-11,0.11364582207754513,3.7953535429035165e-11,0.4828151777381309,0.2343950545721489,,,,,,
2013-03-28,2013-04-01,g5_a100_cap25_s1,optimal,1.349684307247257e-10,1.3649213189059577e-13,0.9926619450748781,calm,0.9887106847305818,1.0998803160710573e-17,0.011289315269418199,5.0,1.0,0.25,1.0,,default_until_min_history,56,1.918866130326915e-11,1.9434333224384653e-11,0.16703581638294798,1.9241510382087112e-11,1.7702707699259538e-11,0.11338446303129975,1.6518066011443268e-11,0.4868185016895739,0.23276121880409298,,,,,,
2013-04-05,2013-04-08,g5_a100_cap25_s1,optimal,6.110823950539861e-11,6.22762700018958e-14,0.9923535405482088,calm,0.9617749896887472,0.0382217716678294,3.238643423459544e-06,5.0,1.0,0.25,1.0,,default_until_min_history,61,6.025808469465661e-12,6.063185229609285e-12,0.16520169340492244,6.049776512576071e-12,5.7388959823586514e-12,0.1129457029513824,5.599102386933063e-12,0.4911476974962281,0.23070490611799027,,,,,,
2013-04-12,2013-04-15,g5_a100_cap25_s1,optimal,1.959294389919071e-11,1.9870052172172892e-14,0.9908068752524106,calm,0.9858567311573753,2.5938326131546153e-13,0.014143268842365402,5.0,1.0,0.25,1.0,,default_until_min_history,66,1.9112715899284305e-12,1.916262563314202e-12,0.16413012578541555,1.9260514146364575e-12,1.864494302497379e-12,0.11243997313636458,1.8329459433729475e-12,0.4919383188409339,0.2314915822278348,,,,,,
2013-04-19,2013-04-22,g5_a100_cap25_s1,optimal,5.458949142087186e-12,5.504744811530757e-15,0.9945470850957701,calm,0.991610900147338,7.869666029472298e-16,0.0083890998526613,5.0,1.0,0.25,1.0,,default_until_min_history,71,8.402182731007941e-13,7.830028486101539e-13,0.16245169674572715,7.847989388118539e-13,7.885867845122032e-13,0.11452859941441758,6.569895177847813e-13,0.49398613903700167,0.22903356479899997,,,,,,
2013-04-26,2013-04-29,g5_a100_cap25_s1,optimal,2.6408034418329407e-12,2.657868268116774e-15,0.9957997112133447,calm,0.9935380172512995,1.6624525985368754e-18,0.006461982748700501,5.0,1.0,0.25,1.0,,default_until_min_history,76,2.70612291107029e-13,2.5920454581127587e-13,0.16555061901355858,2.572989535856313e-13,2.5850196943341965e-13,0.11330116015833694,2.282351619759419e-13,0.48950812641785135,0.2316400944089792,,,,,,
2013-05-03,2013-05-06,g5_a100_cap25_s1,optimal,7.675005100436509e-13,7.740362234638935e-16,0.9944648717915301,calm,0.9914844181408156,8.790450623222172e-19,0.0085155818591844,5.0,1.0,0.25,1.0,,default_until_min_history,81,1.0878865591913945e-13,1.0616283000425132e-13,0.16635041798788025,1.0516427974383593e-13,1.0658195925428347e-13,0.11308996275168945,9.577069017969218e-14,0.4858918615608244,0.2346677576990835,,,,,,
2013-05-10,2013-05-13,g5_a100_cap25_s1,optimal,1.2973293175456987e-11,1.3028872598133017e-14,0.9972153080755344,calm,0.9957158585777452,1.0539768570573134e-20,0.0042841414222548,5.0,1.0,0.25,1.0,,default_until_min_history,86,1.9794718982501848e-13,8.576048140048008e-14,0.167578978260318,1.0650261286069421e-13,1.1498009078165536e-13,0.11136851882475275,0.0,0.48443721837787396,0.23661528453655017,,,,,,
2013-05-17,2013-05-20,g5_a100_cap25_s1,optimal,3.144827444387739e-13,3.1760452861802574e-16,0.9960293092265284,calm,0.9801465478514161,0.019853451384684404,7.638995513333949e-10,5.0,1.0,0.25,1.0,,default_until_min_history,91,6.677827844142099e-14,3.6765206022580174e-14,0.17014967852381413,4.228520987010756e-14,4.44024418744342e-14,0.11117703816890943,1.3856075550965181e-14,0.48367278742136544,0.2350004958857069,,,,,,
2013-05-24,2013-05-28,g5_a100_cap25_s1,optimal,1.6028867414609198e-13,1.6182182791208832e-16,0.9961740184555468,calm,0.9808700924276114,0.019129907505776405,6.661225899080981e-11,5.0,1.0,0.25,1.0,,default_until_min_history,96,2.354015299758589e-14,1.545669760130707e-14,0.16918321946670092,1.6947874853736224e-14,1.757264538733025e-14,0.11113850799516409,8.602543361821943e-15,0.4864862842401697,0.23319198829788312,,,,,,
2013-05-31,2013-06-03,g5_a100_cap25_s1,optimal,4.9100508637107806e-14,4.956220154738598e-17,0.9962387860880261,calm,0.9811939949717745,0.018805976347494903,2.8680730608465407e-08,5.0,1.0,0.25,1.0,,default_until_min_history,100,8.74913574946335e-15,6.352024384488542e-15,0.17293653845974338,6.953261146334671e-15,7.067073574797598e-15,0.10850405916849637,4.597958647577455e-15,0.4843534704022937,0.23420593196943285,,,,,,
2013-06-07,2013-06-10,g5_a100_cap25_s1,optimal,2.2634792212314803e-14,3.3413044366359505e-17,0.8085435359201119,transition,0.051575184583752404,0.9444881465348283,0.003936668881419301,5.0,1.0,0.25,1.0,,default_until_min_history,105,2.5841014738340234e-15,2.1070509363960105e-15,0.17238528681086063,2.2267406013853252e-15,2.244917536659589e-15,0.10914437961651277,1.7384636332181237e-15,0.483554981451082,0.23491535212153378,,,,,,
2013-06-14,2013-06-17,g5_a100_cap25_s1,optimal,7.445791185065913e-15,1.0998290271261125e-17,0.80819130539919,transition,0.04962057295066631,0.9465287399583489,0.003850687090984901,5.0,1.0,0.25,1.0,,default_until_min_history,110,7.942299019419511e-16,6.882459659963225e-16,0.16964159902785395,7.157517565418543e-16,7.195988247761662e-16,0.10976859280634947,6.187890069531607e-16,0.48648275639718735,0.2341070517686058,,,,,,
2013-06-21,2013-06-24,g5_a100_cap25_s1,optimal,2.3528708403284148e-15,3.4764930354856655e-18,0.8080386221479312,transition,0.048652161210822706,0.9475882608019923,0.0037595779871850005,5.0,1.0,0.25,1.0,,default_until_min_history,115,2.5220449001454627e-16,2.311685621814264e-16,0.17013243604745507,2.3677854708359384e-16,2.368610548458164e-16,0.10932076516808123,2.151001942772453e-16,0.4862561946285569,0.23429060415590566,,,,,,
2013-06-28,2013-07-01,g5_a100_cap25_s1,optimal,1.1262728028294022e-15,1.6645259790296508e-18,0.807915065513866,transition,0.047876072788978714,0.9484347071133998,0.0036892200976215007,5.0,1.0,0.25,1.0,,default_until_min_history,120,0.0,1.2127959579303297e-17,0.17090150285708053,2.0270073948346496e-17,0.0,0.10860883392442269,2.9755579029877023e-18,0.4834162770252872,0.23707338619320956,,,,,,
2013-07-05,2013-07-08,g5_a100_cap25_s1,optimal,4.879811420956716e-17,7.202641905784373e-20,0.8086969370684809,transition,0.05158255909748081,0.9448183859002631,0.0035990550022561006,5.0,1.0,0.25,1.0,,default_until_min_history,124,0.0,2.4561148056272275e-18,0.17137820858995326,4.140713781851653e-18,0.0,0.10784850010167416,5.109006148392058e-19,0.4818098637390032,0.2389634275693694,,,,,,
2013-07-12,2013-07-15,g5_a100_cap25_s1,optimal,0.10805380654332647,0.0001100969848410675,0.992436275066471,calm,0.9621828705555938,0.0378164649007446,6.645436615537864e-07,5.0,1.0,0.25,1.0,,default_until_min_history,129,1.0429780311686358e-09,8.269732163906309e-10,0.2783922847582408,1.1016878636539441e-09,1.4445058896662853e-09,0.0,1.8507746301748066e-09,0.4824713535851026,0.23913635538973685,,,,,,
