,EqualWeight_weekly,Markowitz_CVXPY_weekly
2013-01-08,0.0,0.0
2013-01-09,0.0,0.0
2013-01-10,0.0,0.0
2013-01-11,0.0,0.0
2013-01-14,1.9372739709372435e-06,0.0006315741580348865
2013-01-15,0.0,0.0
2013-01-16,0.0,0.0
2013-01-17,0.0,0.0
2013-01-18,0.0,0.0
2013-01-22,3.945014242137605e-06,6.472483711603103e-05
2013-01-23,0.0,0.0
2013-01-24,0.0,0.0
2013-01-25,0.0,0.0
2013-01-28,2.6729955840593534e-06,8.748916024590402e-06
2013-01-29,0.0,0.0
2013-01-30,0.0,0.0
2013-01-31,0.0,0.0
2013-02-01,0.0,0.0
2013-02-04,3.7874169348844563e-06,3.411879886888121e-05
2013-02-05,0.0,0.0
2013-02-06,0.0,0.0
2013-02-07,0.0,0.0
2013-02-08,0.0,0.0
2013-02-11,1.5320601190044679e-06,2.184478583921831e-06
2013-02-12,0.0,0.0
2013-02-13,0.0,0.0
2013-02-14,0.0,0.0
2013-02-15,0.0,0.0
2013-02-19,2.0257728584080896e-06,2.2269315315555922e-05
2013-02-20,0.0,0.0
2013-02-21,0.0,0.0
2013-02-22,0.0,0.0
2013-02-25,4.60936657801312e-06,2.8930457047217742e-05
2013-02-26,0.0,0.0
2013-02-27,0.0,0.0
2013-02-28,0.0,0.0
2013-03-01,0.0,0.0
2013-03-04,2.947961803157949e-06,4.170109083214161e-06
2013-03-05,0.0,0.0
2013-03-06,0.0,0.0
2013-03-07,0.0,0.0
2013-03-08,0.0,0.0
2013-03-11,3.2781672993263545e-06,9.25950133116596e-07
2013-03-12,0.0,0.0
2013-03-13,0.0,0.0
2013-03-14,0.0,0.0
2013-03-15,0.0,0.0
2013-03-18,2.1133203472480447e-06,2.366812319040651e-06
2013-03-19,0.0,0.0
2013-03-20,0.0,0.0
2013-03-21,0.0,0.0
2013-03-22,0.0,0.0
2013-03-25,4.590332597454463e-06,4.481503465167583e-06
2013-03-26,0.0,0.0
2013-03-27,0.0,0.0
2013-03-28,0.0,0.0
2013-04-01,3.396815608398135e-06,2.7910980511997724e-06
2013-04-02,0.0,0.0
2013-04-03,0.0,0.0
2013-04-04,0.0,0.0
2013-04-05,0.0,0.0
2013-04-08,5.412771571629941e-06,3.3687081405026767e-06
2013-04-09,0.0,0.0
2013-04-10,0.0,0.0
2013-04-11,0.0,0.0
2013-04-12,0.0,0.0
2013-04-15,3.2614414999000484e-06,2.192152101905126e-06
2013-04-16,0.0,0.0
2013-04-17,0.0,0.0
2013-04-18,0.0,0.0
2013-04-19,0.0,0.0
2013-04-22,7.5279456645245065e-06,2.4708566231896187e-06
2013-04-23,0.0,0.0
2013-04-24,0.0,0.0
2013-04-25,0.0,0.0
2013-04-26,0.0,0.0
2013-04-29,5.548155298796952e-06,2.040136045776672e-06
2013-04-30,0.0,0.0
2013-05-01,0.0,0.0
2013-05-02,0.0,0.0
2013-05-03,0.0,0.0
2013-05-06,5.219196863259001e-06,1.5061550008811667e-05
2013-05-07,0.0,0.0
2013-05-08,0.0,0.0
2013-05-09,0.0,0.0
2013-05-10,0.0,0.0
2013-05-13,5.328238832411563e-06,3.386083669039666e-05
2013-05-14,0.0,0.0
2013-05-15,0.0,0.0
2013-05-16,0.0,0.0
2013-05-17,0.0,0.0
2013-05-20,2.3159724221370885e-06,3.4995721942276454e-05
2013-05-21,0.0,0.0
2013-05-22,0.0,0.0
2013-05-23,0.0,0.0
2013-05-24,0.0,0.0
2013-05-28,3.5729877522642997e-06,3.1537117613928274e-05
2013-05-29,0.0,0.0
2013-05-30,0.0,0.0
2013-05-31,0.0,0.0
2013-06-03,5.636266656381437e-06,1.9964943613782483e-05
2013-06-04,0.0,0.0
2013-06-05,0.0,0.0
2013-06-06,0.0,0.0
2013-06-07,0.0,0.0
2013-06-10,1.9475377382139545e-06,9.423813017178402e-06
2013-06-11,0.0,0.0
2013-06-12,0.0,0.0
2013-06-13,0.0,0.0
2013-06-14,0.0,0.0
2013-06-17,3.368475346484004e-06,9.694375050515791e-06
2013-06-18,0.0,0.0
2013-06-19,0.0,0.0
2013-06-20,0.0,0.0
2013-06-21,0.0,0.0
2013-06-24,1.5463875452051899e-06,2.975627538017116e-05
2013-06-25,0.0,0.0
2013-06-26,0.0,0.0
2013-06-27,0.0,0.0
2013-06-28,0.0,0.0
2013-07-01,4.760771223111235e-06,6.52431738388252e-05
2013-07-02,0.0,0.0
2013-07-03,0.0,0.0
2013-07-05,0.0,0.0
2013-07-08,4.15025453879641e-06,6.739538486572283e-05
2013-07-09,0.0,0.0
2013-07-10,0.0,0.0
2013-07-11,0.0,0.0
2013-07-12,0.0,0.0
2013-07-15,2.7264980098889725e-06,3.174245039214719e-05
2013-07-16,0.0,0.0
2013-07-17,0.0,0.0
2013-07-18,0.0,0.0
2013-07-19,0.0,0.0
2013-07-22,4.545997678632646e-06,2.204719305460788e-05
2013-07-23,0.0,0.0
2013-07-24,0.0,0.0
2013-07-25,0.0,0.0
2013-07-26,0.0,0.0
2013-07-29,2.7705130307224264e-06,5.4225343130970445e-05
2013-07-30,0.0,0.0
2013-07-31,0.0,0.0
2013-08-01,0.0,0.0
2013-08-02,0.0,0.0
2013-08-05,3.08318115001463e-06,1.651776311583857e-05
2013-08-06,0.0,0.0
2013-08-07,0.0,0.0
2013-08-08,0.0,0.0
2013-08-09,0.0,0.0
2013-08-12,2.3815862899035782e-06,1.1179705230798481e-05
2013-08-13,0.0,0.0
2013-08-14,0.0,0.0
2013-08-15,0.0,0.0
2013-08-16,0.0,0.0
2013-08-19,5.095595861414288e-06,4.500716348047626e-05
2013-08-20,0.0,0.0
2013-08-21,0.0,0.0
2013-08-22,0.0,0.0
2013-08-23,0.0,0.0
2013-08-26,1.5404281891650482e-06,1.0102408923894948e-05
2013-08-27,0.0,0.0
2013-08-28,0.0,0.0
2013-08-29,0.0,0.0
2013-08-30,0.0,0.0
2013-09-03,3.225110984334846e-06,1.3697756408369157e-05
2013-09-04,0.0,0.0
2013-09-05,0.0,0.0
2013-09-06,0.0,0.0
2013-09-09,3.151620015515541e-06,9.420604351014446e-06
2013-09-10,0.0,0.0
2013-09-11,0.0,0.0
2013-09-12,0.0,0.0
2013-09-13,0.0,0.0
2013-09-16,2.857011654656079e-06,5.655608167315814e-06
2013-09-17,0.0,0.0
2013-09-18,0.0,0.0
2013-09-19,0.0,0.0
2013-09-20,0.0,0.0
2013-09-23,1.8379110554816242e-06,1.7972293475058176e-05
2013-09-24,0.0,0.0
2013-09-25,0.0,0.0
2013-09-26,0.0,0.0
2013-09-27,0.0,0.0
2013-09-30,2.897501829850338e-06,8.439412030032927e-06
2013-10-01,0.0,0.0
2013-10-02,0.0,0.0
2013-10-03,0.0,0.0
2013-10-04,0.0,0.0
2013-10-07,2.904885141681253e-06,1.2951552188294953e-05
2013-10-08,0.0,0.0
2013-10-09,0.0,0.0
2013-10-10,0.0,0.0
2013-10-11,0.0,0.0
2013-10-14,3.6699850764038493e-06,4.843793922612282e-05
2013-10-15,0.0,0.0
2013-10-16,0.0,0.0
2013-10-17,0.0,0.0
2013-10-18,0.0,0.0
2013-10-21,2.2617079736658097e-06,3.0055909573803896e-06
2013-10-22,0.0,0.0
2013-10-23,0.0,0.0
2013-10-24,0.0,0.0
2013-10-25,0.0,0.0
2013-10-28,4.14856529707118e-06,6.737603769588883e-06
2013-10-29,0.0,0.0
2013-10-30,0.0,0.0
2013-10-31,0.0,0.0
2013-11-01,0.0,0.0
2013-11-04,3.672717016695463e-06,6.314241204457774e-06
2013-11-05,0.0,0.0
2013-11-06,0.0,0.0
2013-11-07,0.0,0.0
2013-11-08,0.0,0.0
2013-11-11,2.3443252754205557e-06,2.341920209965314e-05
2013-11-12,0.0,0.0
2013-11-13,0.0,0.0
2013-11-14,0.0,0.0
2013-11-15,0.0,0.0
2013-11-18,1.933086711395575e-06,1.4710943754638708e-05
2013-11-19,0.0,0.0
2013-11-20,0.0,0.0
2013-11-21,0.0,0.0
2013-11-22,0.0,0.0
2013-11-25,4.49249806330327e-06,9.339998965018707e-06
2013-11-26,0.0,0.0
2013-11-27,0.0,0.0
2013-11-29,0.0,0.0
2013-12-02,4.407382885360522e-06,2.122176407272392e-05
2013-12-03,0.0,0.0
2013-12-04,0.0,0.0
2013-12-05,0.0,0.0
2013-12-06,0.0,0.0
2013-12-09,1.7593141229161127e-06,2.9691842756248814e-05
2013-12-10,0.0,0.0
2013-12-11,0.0,0.0
2013-12-12,0.0,0.0
2013-12-13,0.0,0.0
2013-12-16,2.675153294797991e-06,1.8298940893369015e-05
2013-12-17,0.0,0.0
2013-12-18,0.0,0.0
2013-12-19,0.0,0.0
2013-12-20,0.0,0.0
2013-12-23,2.115545923298351e-06,2.356320794303821e-06
2013-12-24,0.0,0.0
2013-12-26,0.0,0.0
2013-12-27,0.0,0.0
2013-12-30,3.0115499162584184e-06,1.4721855203255177e-05
2013-12-31,0.0,0.0
2014-01-02,0.0,0.0
2014-01-03,0.0,0.0
2014-01-06,2.6994338943522186e-06,1.773024617387436e-05
2014-01-07,0.0,0.0
2014-01-08,0.0,0.0
2014-01-09,0.0,0.0
2014-01-10,0.0,0.0
2014-01-13,4.180018039353736e-06,2.4446516170356717e-05
2014-01-14,0.0,0.0
2014-01-15,0.0,0.0
2014-01-16,0.0,0.0
2014-01-17,0.0,0.0
2014-01-21,3.578696623042443e-06,1.879280548233797e-05
2014-01-22,0.0,0.0
2014-01-23,0.0,0.0
2014-01-24,0.0,0.0
2014-01-27,5.346259122947193e-06,1.3918853541273858e-05
2014-01-28,0.0,0.0
2014-01-29,0.0,0.0
2014-01-30,0.0,0.0
2014-01-31,0.0,0.0
2014-02-03,5.164240810648098e-06,7.309760775847033e-06
2014-02-04,0.0,0.0
2014-02-05,0.0,0.0
2014-02-06,0.0,0.0
2014-02-07,0.0,0.0
2014-02-10,2.3101591673913637e-06,1.7854649466239325e-06
2014-02-11,0.0,0.0
2014-02-12,0.0,0.0
2014-02-13,0.0,0.0
2014-02-14,0.0,0.0
2014-02-18,3.0586093787019974e-06,2.745604697147505e-06
2014-02-19,0.0,0.0
2014-02-20,0.0,0.0
2014-02-21,0.0,0.0
